train_loss,epoch,step,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_loss
0.00021739001385867596,0,49,,,,,,
,0,73,0.9655172228813171,0.9482207298278809,0.9266525506973267,0.932530403137207,0.9912854433059692,0.15918803215026855
0.00010429570102132857,1,99,,,,,,
,1,147,0.9655172228813171,0.9286191463470459,0.9756947159767151,0.9479647874832153,0.9885308742523193,0.18893028795719147
1.7496049622423016e-05,2,149,,,,,,
1.2217854418850038e-05,2,199,,,,,,
,2,221,0.9636015295982361,0.93474942445755,0.9654776453971863,0.9461313486099243,0.9884958267211914,0.19513936340808868
5.570774737861939e-05,3,249,,,,,,
,3,295,0.9655172228813171,0.9354305267333984,0.9722890257835388,0.9497162699699402,0.9884429574012756,0.2024299055337906
7.328213996515842e-06,4,299,,,,,,
1.3408645827439614e-05,4,349,,,,,,
,4,369,0.9655172228813171,0.9354305267333984,0.9722890257835388,0.9497162699699402,0.9881996512413025,0.20701603591442108
1.5305831766454503e-05,5,399,,,,,,
,5,443,0.9655172228813171,0.9354305267333984,0.9722890257835388,0.9497162699699402,0.9887391328811646,0.21114037930965424
5.432597390608862e-06,6,449,,,,,,
1.2484251783462241e-06,6,499,,,,,,
,6,517,0.9655172228813171,0.9354305267333984,0.9722890257835388,0.9497162699699402,0.9887391328811646,0.21609854698181152
5.428198619483737e-06,7,549,,,,,,
,7,591,0.9636015295982361,0.9325113892555237,0.9722890257835388,0.9476729035377502,0.9887391328811646,0.22191715240478516
2.8353347261145245e-06,8,599,,,,,,
2.187930022046203e-06,8,649,,,,,,
,8,665,0.9636015295982361,0.9325113892555237,0.9722890257835388,0.9476729035377502,0.9887391328811646,0.22373053431510925
3.3130058909591753e-06,9,699,,,,,,
,9,739,0.9636015295982361,0.93474942445755,0.9654776453971863,0.9461313486099243,0.9887391328811646,0.2241687774658203
