train_loss,epoch,step,val_accuracy,val_loss,test_accuracy,test_loss
0.20197202265262604,0,49,,,,
,0,73,0.961685836315155,0.1172536090016365,,
0.20560353994369507,1,99,,,,
,1,147,0.961685836315155,0.10526071488857269,,
0.01496389415115118,2,149,,,,
0.029449868947267532,2,199,,,,
,2,221,0.959770143032074,0.0937582328915596,,
0.001654161256738007,3,249,,,,
,3,295,0.961685836315155,0.1099679246544838,,
0.05428590252995491,4,299,,,,
0.004333444871008396,4,349,,,,
,4,369,0.967432975769043,0.10846611857414246,,
0.0012454617535695434,5,399,,,,
,5,443,0.9655172228813171,0.11218232661485672,,
0.002417532028630376,6,449,,,,
0.0005634527187794447,6,499,,,,
,6,517,0.9636015295982361,0.11965643614530563,,
0.00031607371056452394,7,549,,,,
,7,591,0.9636015295982361,0.12669022381305695,,
0.0003703043330460787,8,599,,,,
0.00028848860529251397,8,649,,,,
,8,665,0.9578543901443481,0.1316319853067398,,
0.0002479738905094564,9,699,,,,
,9,739,0.9636015295982361,0.13664744794368744,,
,10,740,,,0.9578947424888611,0.13709045946598053
